iter	Passed	Remaining
0	150	150728
1	179	89648
2	206	68737
3	231	57740
4	238	47390
5	254	42228
6	272	38616
7	289	35912
8	295	32508
9	313	31000
10	330	29707
11	348	28675
12	366	27857
13	384	27093
14	396	26036
15	413	25435
16	432	25024
17	447	24408
18	455	23526
19	461	22603
20	478	22308
21	496	22085
22	513	21829
23	532	21655
24	549	21423
25	566	21232
26	584	21066
27	601	20887
28	619	20731
29	636	20580
30	653	20429
31	663	20077
32	671	19687
33	689	19579
34	707	19514
35	728	19507
36	747	19452
37	756	19142
38	769	18971
39	780	18734
40	797	18654
41	815	18611
42	833	18547
43	851	18499
44	868	18432
45	885	18357
46	902	18300
47	920	18253
48	937	18197
49	954	18135
50	971	18076
51	992	18093
52	1016	18167
53	1037	18179
54	1060	18220
55	1085	18301
56	1106	18301
57	1114	18104
58	1122	17902
59	1140	17865
60	1156	17796
61	1165	17636
62	1182	17587
63	1199	17542
64	1216	17501
65	1233	17462
66	1242	17301
67	1261	17286
68	1264	17061
69	1282	17044
70	1291	16898
71	1308	16862
72	1325	16836
73	1343	16809
74	1361	16786
75	1375	16720
76	1393	16703
77	1412	16695
78	1421	16569
79	1438	16542
80	1456	16523
81	1474	16507
82	1492	16489
83	1509	16462
84	1527	16444
85	1545	16420
86	1556	16332
87	1574	16316
88	1592	16297
89	1600	16182
90	1618	16162
91	1636	16148
92	1653	16129
93	1665	16054
94	1689	16094
95	1694	15959
96	1713	15948
97	1730	15926
98	1744	15874
99	1761	15854
100	1779	15834
101	1796	15818
102	1814	15803
103	1828	15754
104	1845	15729
105	1867	15749
106	1886	15747
107	1895	15656
108	1912	15632
109	1929	15609
110	1946	15592
111	1964	15572
112	1981	15550
113	1989	15460
114	2006	15437
115	2023	15418
116	2042	15411
117	2059	15392
118	2078	15385
119	2083	15282
120	2100	15261
121	2109	15179
122	2126	15159
123	2131	15059
124	2136	14958
125	2153	14939
126	2171	14923
127	2188	14911
128	2197	14837
129	2214	14820
130	2221	14737
131	2243	14754
132	2264	14762
133	2291	14810
134	2302	14755
135	2327	14788
136	2352	14818
137	2375	14835
138	2392	14821
139	2415	14839
140	2433	14823
141	2467	14911
142	2484	14890
143	2506	14899
144	2526	14899
145	2547	14899
146	2566	14894
147	2569	14793
148	2587	14778
149	2605	14762
150	2622	14743
151	2636	14706
152	2653	14687
153	2672	14678
154	2690	14667
155	2708	14653
156	2725	14635
157	2742	14617
158	2761	14604
159	2778	14586
160	2795	14568
161	2814	14556
162	2831	14540
163	2849	14524
164	2857	14461
165	2877	14458
166	2894	14439
167	2905	14388
168	2922	14368
169	2942	14367
170	2963	14367
171	2985	14373
172	3007	14378
173	3028	14378
174	3050	14380
175	3068	14366
176	3085	14347
177	3102	14329
178	3120	14313
179	3138	14296
180	3156	14281
181	3161	14211
182	3181	14203
183	3198	14185
184	3204	14116
185	3217	14083
186	3237	14077
187	3254	14058
188	3272	14042
189	3289	14023
190	3307	14008
191	3324	13992
192	3343	13981
193	3362	13968
194	3379	13952
195	3397	13936
196	3416	13926
197	3433	13909
198	3452	13897
199	3470	13880
200	3487	13863
201	3507	13856
202	3525	13840
203	3542	13821
204	3559	13803
205	3577	13790
206	3595	13772
207	3612	13754
208	3630	13740
209	3648	13726
210	3666	13711
211	3684	13695
212	3701	13677
213	3719	13661
214	3736	13642
215	3753	13625
216	3771	13607
217	3788	13590
218	3806	13573
219	3823	13554
220	3841	13539
221	3858	13522
222	3876	13506
223	3894	13493
224	3912	13476
225	3929	13459
226	3948	13446
227	3967	13432
228	3985	13416
229	4002	13398
230	4019	13379
231	4036	13362
232	4053	13343
233	4072	13330
234	4091	13317
235	4109	13303
236	4128	13291
237	4147	13277
238	4165	13263
239	4184	13249
240	4202	13234
241	4220	13218
242	4237	13200
243	4256	13187
244	4274	13171
245	4292	13156
246	4309	13138
247	4328	13123
248	4346	13108
249	4363	13089
250	4381	13074
251	4402	13068
252	4420	13051
253	4437	13033
254	4454	13013
255	4472	12997
